Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Fluminense,Corinthians,10,9938,11,-2,13084,10,-1,1
Grêmio,Fortaleza,10,15160,14,3,6585,11,1,0
Atlético-mg,Bragantino,10,13096,15,2,4145,7,-5,1
Bahia,Atlético-go,10,10719,12,-3,5834,10,-3,-1
Ceará,Flamengo,10,6751,10,-4,15428,17,2,1
Goiás,Internacional,10,6703,5,-7,12204,20,10,1
Palmeiras,Sport,10,16640,17,5,7237,10,-3,0
Botafogo-rj,Vasco,10,9640,9,-2,9242,15,5,-1
Corinthians,Bahia,11,13084,10,-2,10719,12,-4,1
Bragantino,Ceará,11,4145,7,-6,6751,13,-2,1
Fortaleza,Internacional,11,6585,12,1,12204,20,9,1
Atlético-go,Atlético-mg,11,5834,13,-2,13096,18,3,-1
Grêmio,Palmeiras,11,15160,15,3,16640,18,5,0
Coritiba,Vasco,11,5958,8,-5,9242,18,6,-1
Botafogo-rj,Santos,11,9640,9,-3,13944,15,2,0
Sport,Fluminense,11,7237,11,-3,9938,14,-1,1
Sport,Corinthians,12,7237,14,-2,13084,13,-1,1
Internacional,São paulo,12,12204,20,8,10526,21,5,0
Athlético-pr,Bahia,12,13466,14,0,10719,12,-5,1
Atlético-mg,Grêmio,12,13096,21,4,15160,16,3,1
Vasco,Bragantino,12,9242,21,7,4145,10,-4,0
Palmeiras,Flamengo,12,16640,19,5,15428,20,1,0
Ceará,Goiás,12,6751,13,-4,6703,8,-7,0
Atlético-go,Botafogo-rj,12,5834,13,-3,9640,10,-3,0
Santos,Fortaleza,12,13944,16,2,6585,15,2,0
Fluminense,Coritiba,12,9938,14,-2,5958,8,-6,1
Botafogo-rj,Bahia,1,9640,0,0,10719,0,0,-1
Corinthians,Atlético-go,1,13084,0,0,5834,0,0,0
Grêmio,Internacional,13,15160,16,1,12204,21,8,0
Palmeiras,Ceará,13,16640,20,5,6751,14,-4,1
Bragantino,Corinthians,13,4145,11,-4,13084,13,-2,0
Botafogo-rj,Fluminense,13,9640,11,-3,9938,17,2,0
Flamengo,Athlético-pr,13,15428,21,1,13466,17,1,1
Coritiba,São paulo,13,5958,8,-10,10526,22,5,0
Bahia,Sport,13,10719,12,-6,7237,17,-1,-1
Fortaleza,Atlético-go,13,6585,16,2,5834,14,-3,0
Goiás,Santos,13,6703,9,-7,13944,17,2,-1
Atlético-mg,Vasco,13,13096,24,6,9242,22,7,1
Corinthians,Santos,14,13084,14,-2,13944,20,3,0
Flamengo,Sport,14,15428,24,3,7237,20,0,1
Grêmio,Coritiba,14,15160,17,1,5958,9,-10,1
Bahia,Vasco,14,10719,12,-7,9242,22,4,1
Goiás,Fluminense,14,6703,9,-8,9938,18,2,-1
São paulo,Atlético-go,14,10526,23,5,5834,15,-3,1
Botafogo-rj,Palmeiras,14,9640,12,-3,16640,23,6,1
Fortaleza,Atlético-mg,14,6585,17,2,13096,27,9,1
Athlético-pr,Ceará,14,13466,17,-1,6751,14,-5,0
Bragantino,Internacional,14,4145,12,-4,12204,22,8,-1
Vasco,Flamengo,15,9242,22,1,15428,27,6,-1
Palmeiras,São paulo,15,16640,23,5,10526,26,8,-1
Coritiba,Fortaleza,15,5958,9,-11,6585,20,3,0
Atlético-mg,Goiás,15,13096,27,8,6703,9,-10,1
Fluminense,Bahia,15,9938,21,4,10719,15,-4,1
Santos,Grêmio,15,13944,21,3,15160,20,2,1
Sport,Botafogo-rj,15,7237,20,-3,9640,15,-2,-1
Atlético-go,Bragantino,15,5834,15,-6,4145,12,-6,1
Internacional,Athlético-pr,15,12204,25,10,13466,18,-1,1
Ceará,Corinthians,15,6751,15,-5,13084,15,-2,1
Flamengo,Goiás,11,15428,17,0,6703,8,-6,1
Palmeiras,Coritiba,16,16640,23,3,5958,10,-11,-1
Grêmio,Botafogo-rj,16,15160,20,1,9640,18,-1,1
Santos,Atlético-go,16,13944,24,4,5834,18,-5,-1
Atlético-mg,Fluminense,16,13096,30,11,9938,24,5,0
Sport,Internacional,16,7237,20,-4,12204,28,11,-1
Athlético-pr,Corinthians,16,13466,18,-2,13084,15,-3,-1
Flamengo,Bragantino,16,15428,30,7,4145,12,-7,0
Goiás,Bahia,16,6703,9,-13,10719,15,-5,0
Fluminense,Ceará,17,9938,25,5,6751,19,-4,0
Coritiba,Santos,17,5958,13,-9,13944,24,3,-1
Atlético-go,Athlético-pr,17,5834,21,-4,13466,18,-3,0
São paulo,Grêmio,17,10526,30,10,15160,23,3,0
Corinthians,Flamengo,17,13084,18,-2,15428,31,7,-1
Internacional,Vasco,17,12204,31,13,9242,23,0,1
Bragantino,Sport,17,4145,13,-7,7237,20,-6,1
Fortaleza,Palmeiras,17,6585,22,3,16640,23,1,1
Botafogo-rj,Goiás,17,9640,18,-3,6703,10,-13,0
Bahia,Atlético-mg,17,10719,16,-5,13096,31,11,1
Vasco,Corinthians,18,9242,23,-2,13084,18,-6,-1
Bragantino,Goiás,18,4145,16,-5,6703,11,-13,1
Ceará,Coritiba,18,6751,20,-4,5958,13,-10,1
Atlético-mg,Sport,18,13096,31,9,7237,20,-8,0
